game_id,game_date,home_team,away_team,home_lineup_quality_score,away_lineup_quality_score,lineup_quality_diff,home_top3_available,away_top3_available,home_projected_lineup_available,away_projected_lineup_available,home_confirmed_lineup_available,away_confirmed_lineup_available,lineup_confidence_grade,lineup_context_available,lineup_quality_warning
823375,2026-05-30,Pirates,Twins,85,85,0,False,False,True,True,True,True,A,True,top3 hitter ids incomplete
823376,2026-05-27,Pirates,Cubs,0,0,0,False,False,False,False,False,False,D,False,confirmed lineup missing | projected lineup incomplete | top3 hitter ids incomplete | top3 savant incomplete
823377,2026-05-29,Pirates,Twins,0,0,0,False,False,False,False,False,False,D,False,confirmed lineup missing | projected lineup incomplete | top3 hitter ids incomplete | top3 savant incomplete
823378,2026-05-28,Pirates,Cubs,0,0,0,False,False,False,False,False,False,D,False,confirmed lineup missing | projected lineup incomplete | top3 hitter ids incomplete | top3 savant incomplete
823444,2026-06-29,Phillies,Pirates,100,100,0,True,True,True,True,True,True,A,True,
823445,2026-06-30,Phillies,Pirates,100,100,0,True,True,True,True,True,True,A,True,
823446,2026-07-01,Phillies,Pirates,100,100,0,True,True,True,True,True,True,A,True,
823447,2026-06-20,Phillies,Mets,100,100,0,True,True,True,True,True,True,A,True,
823448,2026-06-18,Phillies,Mets,100,100,0,True,True,True,True,True,True,A,True,
823449,2026-06-21,Phillies,Mets,100,100,0,True,True,True,True,True,True,A,True,
823450,2026-06-17,Phillies,Marlins,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823451,2026-06-16,Phillies,Marlins,100,100,0,True,True,True,True,True,True,A,True,
823452,2026-06-15,Phillies,Marlins,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823453,2026-06-07,Phillies,White Sox,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823454,2026-06-06,Phillies,White Sox,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823455,2026-06-05,Phillies,White Sox,100,100,0,True,True,True,True,True,True,A,True,
823456,2026-06-03,Phillies,Padres,100,100,0,True,True,True,True,True,True,A,True,
823457,2026-06-04,Phillies,Padres,100,100,0,True,True,True,True,True,True,A,True,
823460,2026-06-02,Phillies,Padres,100,100,0,True,True,True,True,True,True,A,True,
823528,2026-06-30,Yankees,Tigers,100,100,0,True,True,True,True,True,True,A,True,
823529,2026-06-29,Yankees,Tigers,100,100,0,True,True,True,True,True,True,A,True,
823530,2026-07-01,Yankees,Tigers,100,100,0,True,True,True,True,True,True,A,True,
823531,2026-06-21,Yankees,Reds,100,100,0,True,True,True,True,True,True,A,True,
823532,2026-06-20,Yankees,Reds,100,100,0,True,True,True,True,True,True,A,True,
823533,2026-06-18,Yankees,White Sox,100,100,0,True,True,True,True,True,True,A,True,
823534,2026-06-19,Yankees,Reds,100,100,0,True,True,True,True,True,True,A,True,
823535,2026-06-16,Yankees,White Sox,100,100,0,True,True,True,True,True,True,A,True,
823536,2026-06-17,Yankees,White Sox,100,100,0,True,True,True,True,True,True,A,True,
823537,2026-06-07,Yankees,Red Sox,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823538,2026-06-05,Yankees,Red Sox,100,100,0,True,True,True,True,True,True,A,True,
823539,2026-06-06,Yankees,Red Sox,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823540,2026-06-03,Yankees,Guardians,100,100,0,True,True,True,True,True,True,A,True,
823541,2026-06-02,Yankees,Guardians,100,100,0,True,True,True,True,True,True,A,True,
823542,2026-06-04,Yankees,Guardians,100,100,0,True,True,True,True,True,True,A,True,
823608,2026-06-28,Mets,Phillies,100,100,0,True,True,True,True,True,True,A,True,
823609,2026-06-27,Mets,Phillies,100,100,0,True,True,True,True,True,True,A,True,
823610,2026-06-26,Mets,Phillies,100,100,0,True,True,True,True,True,True,A,True,
823611,2026-06-24,Mets,Cubs,100,100,0,True,True,True,True,True,True,A,True,
823612,2026-06-25,Mets,Cubs,100,100,0,True,True,True,True,True,True,A,True,
823613,2026-06-22,Mets,Cubs,100,100,0,True,True,True,True,True,True,A,True,
823614,2026-06-23,Mets,Cubs,100,100,0,True,True,True,True,True,True,A,True,
823615,2026-06-14,Mets,Braves,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823616,2026-06-13,Mets,Braves,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823617,2026-06-12,Mets,Braves,100,100,0,True,True,True,True,True,True,A,True,
823618,2026-06-10,Mets,Cardinals,100,100,0,True,True,True,True,True,True,A,True,
823619,2026-06-11,Mets,Cardinals,100,45,55,True,False,True,True,True,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823620,2026-06-09,Mets,Cardinals,100,100,0,True,True,True,True,True,True,A,True,
823621,2026-05-31,Mets,Marlins,100,45,55,True,False,True,True,True,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823622,2026-05-30,Mets,Marlins,85,85,0,False,False,True,True,True,True,A,True,top3 hitter ids incomplete
823623,2026-05-29,Mets,Marlins,0,0,0,False,False,False,False,False,False,D,False,confirmed lineup missing | projected lineup incomplete | top3 hitter ids incomplete | top3 savant incomplete
823626,2026-05-27,Mets,Reds,0,0,0,False,False,False,False,False,False,D,False,confirmed lineup missing | projected lineup incomplete | top3 hitter ids incomplete | top3 savant incomplete
823686,2026-06-28,Twins,Rockies,100,100,0,True,True,True,True,True,True,A,True,
823688,2026-06-27,Twins,Rockies,100,100,0,True,True,True,True,True,True,A,True,
823689,2026-06-27,Twins,Rockies,100,100,0,True,True,True,True,True,True,A,True,
823690,2026-06-23,Twins,Dodgers,100,100,0,True,True,True,True,True,True,A,True,
823691,2026-06-24,Twins,Dodgers,100,100,0,True,True,True,True,True,True,A,True,
823692,2026-06-22,Twins,Dodgers,100,100,0,True,True,True,True,True,True,A,True,
823693,2026-06-14,Twins,Cardinals,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823694,2026-06-13,Twins,Cardinals,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823695,2026-06-13,Twins,Cardinals,100,100,0,True,True,True,True,True,True,A,True,
823696,2026-06-07,Twins,Royals,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823697,2026-06-06,Twins,Royals,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823698,2026-06-04,Twins,Royals,100,100,0,True,True,True,True,True,True,A,True,
823699,2026-06-06,Twins,Royals,100,100,0,True,True,True,True,True,True,A,True,
823700,2026-06-02,Twins,White Sox,100,100,0,True,True,True,True,True,True,A,True,
823701,2026-06-03,Twins,White Sox,100,45,55,True,False,True,True,True,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823702,2026-06-01,Twins,White Sox,100,100,0,True,True,True,True,True,True,A,True,
823767,2026-07-02,Brewers,Reds,100,100,0,True,True,True,True,True,True,A,True,
823768,2026-06-30,Brewers,Reds,100,100,0,True,True,True,True,True,True,A,True,
823769,2026-06-28,Brewers,Cubs,100,100,0,True,True,True,True,True,True,A,True,
823770,2026-06-27,Brewers,Cubs,100,100,0,True,True,True,True,True,True,A,True,
823771,2026-06-29,Brewers,Reds,100,100,0,True,True,True,True,True,True,A,True,
823772,2026-06-18,Brewers,Guardians,100,100,0,True,True,True,True,True,True,A,True,
823773,2026-06-26,Brewers,Cubs,100,100,0,True,True,True,True,True,True,A,True,
823774,2026-06-17,Brewers,Guardians,100,100,0,True,True,True,True,True,True,A,True,
823775,2026-06-16,Brewers,Guardians,100,100,0,True,True,True,True,True,True,A,True,
823776,2026-06-13,Brewers,Phillies,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823777,2026-06-14,Brewers,Phillies,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823778,2026-06-12,Brewers,Phillies,100,100,0,True,True,True,True,True,True,A,True,
823779,2026-06-04,Brewers,Giants,100,100,0,True,True,True,True,True,True,A,True,
823780,2026-06-03,Brewers,Giants,100,100,0,True,True,True,True,True,True,A,True,
823781,2026-06-01,Brewers,Giants,100,100,0,True,True,True,True,True,True,A,True,
823782,2026-06-02,Brewers,Giants,100,100,0,True,True,True,True,True,True,A,True,
823849,2026-06-23,Marlins,Rangers,100,100,0,True,True,True,True,True,True,A,True,
823850,2026-06-24,Marlins,Rangers,100,100,0,True,True,True,True,True,True,A,True,
823851,2026-06-22,Marlins,Rangers,100,100,0,True,True,True,True,True,True,A,True,
823852,2026-06-21,Marlins,Giants,45,100,-55,False,True,True,True,False,True,C,True,confirmed lineup missing | top3 hitter ids incomplete
823853,2026-06-19,Marlins,Giants,100,100,0,True,True,True,True,True,True,A,True,
823854,2026-06-20,Marlins,Giants,100,100,0,True,True,True,True,True,True,A,True,
823855,2026-06-11,Marlins,D-backs,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823856,2026-06-10,Marlins,D-backs,100,100,0,True,True,True,True,True,True,A,True,
823857,2026-06-07,Marlins,Rays,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823858,2026-06-09,Marlins,D-backs,100,100,0,True,True,True,True,True,True,A,True,
823859,2026-06-06,Marlins,Rays,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823860,2026-06-05,Marlins,Rays,100,100,0,True,True,True,True,True,True,A,True,
823934,2026-06-21,Dodgers,Orioles,100,100,0,True,True,True,True,True,True,A,True,
823936,2026-06-20,Dodgers,Orioles,45,100,-55,False,True,True,True,False,True,C,True,confirmed lineup missing | top3 hitter ids incomplete
823937,2026-06-21,Dodgers,Orioles,100,45,55,True,False,True,True,True,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823938,2026-06-16,Dodgers,Rays,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
