game_id,game_date,start_time,captured_at,home_team,away_team,home_top3_player_ids,away_top3_player_ids,home_top3_player_names,away_top3_player_names,home_top3_source_status,away_top3_source_status,home_top3_reason,away_top3_reason,top3_player_source,top3_player_captured_at
822891,2026-06-06,2026-06-06T23:35:00+00:00,2026-06-06T13:40:39.003341+00:00,Texas Rangers,Cleveland Guardians,"694671,673962,592626","683953,677587,700932","Wyatt Langford,Josh Jung,Joc Pederson","Travis Bazzana,Brayan Rocchio,Kyle Manzardo",api_ops,api_ops,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822892,2026-06-05,2026-06-06T00:15:00+00:00,2026-06-05T23:08:37.410209+00:00,Texas Rangers,Cleveland Guardians,"694671,608369,673962","683953,608070,800050","694671,608369,673962","683953,608070,800050",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822893,2026-05-30,2026-05-30T20:05:00+00:00,2026-05-30T19:14:08.902169+00:00,Texas Rangers,Kansas City Royals,"694671,673962,592626","670231,695506,677951","Wyatt Langford,Josh Jung,Joc Pederson","John Rave,Jac Caglianone,Bobby Witt Jr.",api_ops,api_ops,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822895,2026-05-31,2026-05-31T18:35:00+00:00,2026-05-31T18:01:13.612831+00:00,Texas Rangers,Kansas City Royals,"592626,673962,607043","695600,677951,686469","592626,673962,607043","695600,677951,686469",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822963,2026-06-23,2026-06-23T22:40:00+00:00,2026-06-23T21:04:58.426477+00:00,Tampa Bay Rays,Kansas City Royals,"650490,666018,656775","657041,679845,695506","650490,666018,656775","657041,679845,695506",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822964,2026-06-22,2026-06-22T22:40:00+00:00,2026-06-22T21:09:28.267174+00:00,Tampa Bay Rays,Kansas City Royals,"650490,676356,666018","695600,672580,695506","650490,676356,666018","695600,672580,695506",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822965,2026-06-24,2026-06-24T22:40:00+00:00,2026-06-24T21:40:46.563377+00:00,Tampa Bay Rays,Kansas City Royals,"650490,676356,691406","695600,679845,695506","650490,676356,691406","695600,679845,695506",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822966,2026-06-19,2026-06-19T23:10:00+00:00,2026-06-19T23:07:05.312509+00:00,Tampa Bay Rays,Washington Nationals,"650490,666018,676356","695578,671277,677588","650490,666018,676356","695578,671277,677588",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822967,2026-06-20,2026-06-20T20:10:00+00:00,2026-06-20T18:20:10.253984+00:00,Tampa Bay Rays,Washington Nationals,"650490,666018,656775","695578,678554,665953","650490,666018,656775","695578,678554,665953",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822968,2026-06-21,2026-06-21T17:40:00+00:00,2026-06-21T16:01:38.010521+00:00,Tampa Bay Rays,Washington Nationals,"650490,676356,666018","695578,671277,678554","650490,676356,666018","695578,671277,678554",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822969,2026-06-09,2026-06-09T22:40:00+00:00,2026-06-09T22:25:45.628325+00:00,Tampa Bay Rays,Boston Red Sox,"650490,691406,802415","680776,678882,677800","650490,691406,802415","680776,678882,677800",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822970,2026-06-10,2026-06-10T17:10:00+00:00,2026-06-10T15:47:25.074074+00:00,Tampa Bay Rays,Boston Red Sox,"650490,596103,691406","680776,678882,677800","650490,596103,691406","680776,678882,677800",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822971,2026-06-02,2026-06-02T22:40:00+00:00,2026-06-02T21:54:22.349462+00:00,Tampa Bay Rays,Detroit Tigers,"802415,691406,666018","650402,663837,693307","802415,691406,666018","650402,663837,693307",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822972,2026-06-08,2026-06-08T22:40:00+00:00,2026-06-08T22:28:08.345647+00:00,Tampa Bay Rays,Boston Red Sox,"650490,596103,691406","680776,678882,677800","650490,596103,691406","680776,678882,677800",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822973,2026-06-03,2026-06-03T17:10:00+00:00,2026-06-03T14:02:07.840520+00:00,Tampa Bay Rays,Detroit Tigers,"650490,691406,666018","650402,805808,693307","Yandy Díaz,Junior Caminero,Jonathan Aranda","650402,805808,693307",api_ops,daily_context,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822974,2026-06-01,2026-06-01T22:40:00+00:00,2026-06-01T21:56:45.773595+00:00,Tampa Bay Rays,Detroit Tigers,"650490,666018,680700","805808,693307,681481","650490,666018,680700","805808,693307,681481",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822975,2026-05-30,2026-05-30T20:10:00+00:00,2026-05-30T19:14:08.902169+00:00,Tampa Bay Rays,Los Angeles Angels,"650490,691406,666018","622268,687263,685133","Yandy Díaz,Junior Caminero,Jonathan Aranda","Donovan Walton,Zach Neto,Wade Meckler",api_ops,api_ops,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
822976,2026-05-31,2026-05-31T17:40:00+00:00,2026-05-31T16:07:50.641249+00:00,Tampa Bay Rays,Los Angeles Angels,"650490,666018,680700","687263,545361,687093","650490,666018,680700","687263,545361,687093",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
823040,2026-06-22,2026-06-22T23:45:00+00:00,2026-06-22T23:27:07.473559+00:00,St. Louis Cardinals,Arizona Diamondbacks,"802139,671056,676475","606466,672695,682998","802139,671056,676475","606466,672695,682998",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
823041,2026-06-24,2026-06-24T23:45:00+00:00,2026-06-24T21:40:46.563377+00:00,St. Louis Cardinals,Arizona Diamondbacks,"802139,671056,691023","606466,672695,682998","802139,671056,691023","606466,672695,682998",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
823043,2026-06-23,2026-06-23T23:45:00+00:00,2026-06-23T23:14:51.379243+00:00,St. Louis Cardinals,Arizona Diamondbacks,"802139,671056,691023","606466,672695,682998","802139,671056,691023","606466,672695,682998",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
823044,2026-06-17,2026-06-17T18:15:00+00:00,2026-06-17T17:14:15.859563+00:00,St. Louis Cardinals,San Diego Padres,"802139,671056,676475","665487,669392,701538","802139,671056,676475","665487,669392,701538",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
823045,2026-06-16,2026-06-16T23:45:00+00:00,2026-06-16T23:41:50.007397+00:00,St. Louis Cardinals,San Diego Padres,"802139,671056,676475","665487,701538,592518","802139,671056,676475","665487,701538,592518",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
823046,2026-06-15,2026-06-15T23:45:00+00:00,2026-06-15T10:30:49.037896+00:00,St. Louis Cardinals,San Diego Padres,"676369,663457,691023","669392,657757,664034","Nelson Velázquez,Lars Nootbaar,Jordan Walker","Samad Taylor,Gavin Sheets,Ty France",api_ops,api_ops,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
823047,2026-06-07,2026-06-07T18:15:00+00:00,2026-06-07T10:56:39.401112+00:00,St. Louis Cardinals,Cincinnati Reds,"676369,663457,691023","668709,682829,663993","Nelson Velázquez,Lars Nootbaar,Jordan Walker","JJ Bleday,Elly De La Cruz,Nathaniel Lowe",api_ops,api_ops,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
823048,2026-06-06,2026-06-06T18:15:00+00:00,2026-06-06T13:40:39.003341+00:00,St. Louis Cardinals,Cincinnati Reds,"676369,663457,691023","668709,682829,663993","Nelson Velázquez,Lars Nootbaar,Jordan Walker","JJ Bleday,Elly De La Cruz,Nathaniel Lowe",api_ops,api_ops,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,Top3 selected by season hitting OPS/OBP+SLG for 2026; players_with_stats=3,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
823049,2026-06-05,2026-06-06T00:15:00+00:00,2026-06-05T23:08:37.410209+00:00,St. Louis Cardinals,Cincinnati Reds,"663457,671056,676475","694362,668709,668715","663457,671056,676475","694362,668709,668715",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
823050,2026-06-01,2026-06-01T23:45:00+00:00,2026-06-01T23:03:22.306671+00:00,St. Louis Cardinals,Texas Rangers,"802139,671056,676475","592626,673962,607043","802139,671056,676475","592626,673962,607043",daily_context,daily_context,Using existing top3 player ids from daily context,Using existing top3 player ids from daily context,daily_context_or_mlb_stats_api,2026-06-24T21:41:23.514929+00:00
