experiment,fold_id,game_id,game_date,home_team,away_team,research_home_prob,outcome
core_plus__sp_fip_diff,3,823936,2026-06-20,Dodgers,Orioles,0.5510605066577321,1
core_plus__sp_fip_diff,3,824097,2026-06-20,Royals,Cardinals,0.36990522850609847,1
core_plus__sp_fip_diff,3,824179,2026-06-20,Astros,Guardians,0.3717772992785782,1
core_plus__sp_fip_diff,3,824264,2026-06-19,Tigers,White Sox,0.5375176805568522,1
core_plus__sp_fip_diff,3,824345,2026-06-20,Rockies,Pirates,0.23475843613087033,1
core_plus__sp_fip_diff,3,824663,2026-06-19,Cubs,Blue Jays,0.4322892468672283,1
core_plus__sp_fip_diff,3,824910,2026-06-19,Braves,Brewers,0.4041141974065971,1
core_plus__sp_fip_diff,3,824990,2026-06-20,Athletics,Angels,0.5198171183829419,1
core_plus__sp_fip_diff,3,825069,2026-06-20,D-backs,Twins,0.4582543095586447,1
core_plus__sp_fip_diff,3,822885,2026-06-20,Rangers,Padres,0.5767783539888841,0
core_plus__sp_fip_diff,3,822967,2026-06-20,Rays,Nationals,0.48556526394278776,0
core_plus__sp_fip_diff,3,823126,2026-06-21,Mariners,Red Sox,0.659899245508337,0
core_plus__sp_fip_diff,3,823447,2026-06-20,Phillies,Mets,0.5792998044979241,1
core_plus__sp_fip_diff,3,823532,2026-06-20,Yankees,Reds,0.5985168231794181,0
core_plus__sp_fip_diff,3,823854,2026-06-20,Marlins,Giants,0.684258642065594,1
core_plus__sp_fip_diff,3,823937,2026-06-21,Dodgers,Orioles,0.7217890655033065,0
core_plus__sp_fip_diff,3,824180,2026-06-20,Astros,Guardians,0.6271089420404362,0
core_plus__sp_fip_diff,3,824263,2026-06-20,Tigers,White Sox,0.5008376175564252,1
core_plus__sp_fip_diff,3,824342,2026-06-21,Rockies,Pirates,0.3072117190117128,1
core_plus__sp_fip_diff,3,824665,2026-06-20,Cubs,Blue Jays,0.49705370777567653,0
core_plus__sp_fip_diff,3,824909,2026-06-20,Braves,Brewers,0.5592868034798948,1
core_plus__sp_fip_diff,3,824988,2026-06-21,Athletics,Angels,0.5496287753200957,0
core_plus__sp_fip_diff,3,825068,2026-06-21,D-backs,Twins,0.41150732402767076,0
core_plus__sp_fip_diff,3,822883,2026-06-21,Rangers,Padres,0.5175914568611292,1
core_plus__sp_fip_diff,3,822968,2026-06-21,Rays,Nationals,0.5624744133123704,1
core_plus__sp_fip_diff,3,823123,2026-06-21,Mariners,Red Sox,0.5846520844252066,1
core_plus__sp_fip_diff,3,823449,2026-06-21,Phillies,Mets,0.6102398730323051,1
core_plus__sp_fip_diff,3,823531,2026-06-21,Yankees,Reds,0.43553799910567254,0
core_plus__sp_fip_diff,3,823852,2026-06-21,Marlins,Giants,0.44976127338515626,1
core_plus__sp_fip_diff,3,823934,2026-06-21,Dodgers,Orioles,0.5414568157717762,0
core_plus__sp_fip_diff,3,824095,2026-06-21,Royals,Cardinals,0.5146840911321305,0
core_plus__sp_fip_diff,3,824177,2026-06-21,Astros,Guardians,0.5453887738254802,1
core_plus__sp_fip_diff,3,824260,2026-06-21,Tigers,White Sox,0.5368877019305709,1
core_plus__sp_fip_diff,3,824343,2026-06-21,Rockies,Pirates,0.3846861728593928,0
core_plus__sp_fip_diff,3,824908,2026-06-21,Braves,Brewers,0.6557004636521656,0
core_plus__sp_fip_diff,3,824987,2026-06-21,Athletics,Angels,0.5132192114588504,0
core_plus__sp_fip_diff,3,825067,2026-06-21,D-backs,Twins,0.38755744438698353,0
core_plus__sp_fip_diff,3,822720,2026-06-22,Nationals,Phillies,0.5227756496765137,1
core_plus__sp_fip_diff,3,822800,2026-06-22,Blue Jays,Astros,0.3585532377865786,1
core_plus__sp_fip_diff,3,822964,2026-06-22,Rays,Royals,0.6550319872162923,0
core_plus__sp_fip_diff,3,823040,2026-06-22,Cardinals,D-backs,0.7208059005893797,1
core_plus__sp_fip_diff,3,823692,2026-06-22,Twins,Dodgers,0.6179031393930348,0
core_plus__sp_fip_diff,3,823851,2026-06-22,Marlins,Rangers,0.5907773185123013,0
core_plus__sp_fip_diff,3,824261,2026-06-22,Tigers,Yankees,0.5301578420402012,1
core_plus__sp_fip_diff,3,824344,2026-06-23,Rockies,Red Sox,0.42144457578903893,1
core_plus__sp_fip_diff,3,824502,2026-06-22,Reds,Brewers,0.42389094959611656,0
core_plus__sp_fip_diff,3,824585,2026-06-22,White Sox,Guardians,0.487828168338722,1
core_plus__sp_stuff_plus_diff,1,825075,2026-06-06,D-backs,Nationals,0.40990068695967596,0
core_plus__sp_stuff_plus_diff,1,822807,2026-06-07,Blue Jays,Orioles,0.5843681982129008,1
core_plus__sp_stuff_plus_diff,1,822890,2026-06-07,Rangers,Guardians,0.2993313375643374,1
core_plus__sp_stuff_plus_diff,1,823047,2026-06-07,Cardinals,Reds,0.6382638446151582,1
core_plus__sp_stuff_plus_diff,1,823291,2026-06-07,Padres,Mets,0.38025549110164,0
core_plus__sp_stuff_plus_diff,1,823453,2026-06-07,Phillies,White Sox,0.35871487684980613,1
core_plus__sp_stuff_plus_diff,1,823537,2026-06-07,Yankees,Red Sox,0.5959690071586705,1
core_plus__sp_stuff_plus_diff,1,823696,2026-06-07,Twins,Royals,0.5196590373377604,0
core_plus__sp_stuff_plus_diff,1,823857,2026-06-07,Marlins,Rays,0.6979155395942918,1
core_plus__sp_stuff_plus_diff,1,823941,2026-06-07,Dodgers,Angels,0.7912495979800671,0
core_plus__sp_stuff_plus_diff,1,824183,2026-06-07,Astros,Athletics,0.6663655232293665,0
core_plus__sp_stuff_plus_diff,1,824268,2026-06-07,Tigers,Mariners,0.5266718707113572,1
core_plus__sp_stuff_plus_diff,1,824349,2026-06-07,Rockies,Brewers,0.29819215166895296,0
core_plus__sp_stuff_plus_diff,1,824670,2026-06-08,Cubs,Giants,0.652359617377,0
core_plus__sp_stuff_plus_diff,1,824916,2026-06-07,Braves,Pirates,0.44428037095261574,1
core_plus__sp_stuff_plus_diff,1,825074,2026-06-07,D-backs,Nationals,0.4014427529964685,1
core_plus__sp_stuff_plus_diff,1,822806,2026-06-08,Blue Jays,Phillies,0.5291677672586335,0
core_plus__sp_stuff_plus_diff,1,822972,2026-06-08,Rays,Red Sox,0.37431861730675375,1
core_plus__sp_stuff_plus_diff,1,823218,2026-06-09,Giants,Nationals,0.47244522586125653,0
core_plus__sp_stuff_plus_diff,1,823289,2026-06-09,Padres,Reds,0.4661918314060628,1
core_plus__sp_stuff_plus_diff,1,824025,2026-06-09,Angels,Astros,0.25105335657075856,0
core_plus__sp_stuff_plus_diff,1,824427,2026-06-08,Guardians,Yankees,0.5376124938460634,0
core_plus__sp_stuff_plus_diff,1,824829,2026-06-08,Orioles,Mariners,0.40748308419130047,0
core_plus__sp_stuff_plus_diff,1,824998,2026-06-09,Athletics,Brewers,0.6524631615287079,0
core_plus__sp_stuff_plus_diff,1,822805,2026-06-09,Blue Jays,Phillies,0.4028571854948025,1
core_plus__sp_stuff_plus_diff,1,822969,2026-06-09,Rays,Red Sox,0.497832260831969,1
core_plus__sp_stuff_plus_diff,1,823214,2026-06-10,Giants,Nationals,0.5550895977918054,0
core_plus__sp_stuff_plus_diff,1,823290,2026-06-10,Padres,Reds,0.6277375713921651,0
core_plus__sp_stuff_plus_diff,1,823374,2026-06-09,Pirates,Dodgers,0.46975113465011226,0
core_plus__sp_stuff_plus_diff,1,823620,2026-06-09,Mets,Cardinals,0.6941710637195854,0
core_plus__sp_stuff_plus_diff,1,823858,2026-06-09,Marlins,D-backs,0.7041831252235659,1
core_plus__sp_stuff_plus_diff,1,824023,2026-06-10,Angels,Astros,0.30410131620249364,1
core_plus__sp_stuff_plus_diff,1,824105,2026-06-09,Royals,Rangers,0.47144881618004525,1
core_plus__sp_stuff_plus_diff,1,824267,2026-06-09,Tigers,Twins,0.8009942935320601,1
core_plus__sp_stuff_plus_diff,1,824347,2026-06-10,Rockies,Cubs,0.39715860749188464,1
core_plus__sp_stuff_plus_diff,1,824429,2026-06-09,Guardians,Yankees,0.4889617631665966,0
core_plus__sp_stuff_plus_diff,1,824591,2026-06-09,White Sox,Braves,0.5823273783215203,1
core_plus__sp_stuff_plus_diff,1,824830,2026-06-09,Orioles,Mariners,0.44866778175868655,0
core_plus__sp_stuff_plus_diff,1,824999,2026-06-10,Athletics,Brewers,0.6285938953590398,1
core_plus__sp_stuff_plus_diff,1,822804,2026-06-10,Blue Jays,Phillies,0.48455556064766947,0
core_plus__sp_stuff_plus_diff,1,822970,2026-06-10,Rays,Red Sox,0.3802141744425055,1
core_plus__sp_stuff_plus_diff,1,823215,2026-06-10,Giants,Nationals,0.4847669270350598,1
core_plus__sp_stuff_plus_diff,1,823287,2026-06-10,Padres,Reds,0.5476381217537044,1
core_plus__sp_stuff_plus_diff,1,823372,2026-06-10,Pirates,Dodgers,0.5235439984929527,1
core_plus__sp_stuff_plus_diff,1,823618,2026-06-10,Mets,Cardinals,0.6550124977394137,0
core_plus__sp_stuff_plus_diff,1,823856,2026-06-10,Marlins,D-backs,0.5508677733489965,1
core_plus__sp_stuff_plus_diff,1,824022,2026-06-11,Angels,Astros,0.2134441650440904,1
core_plus__sp_stuff_plus_diff,1,824103,2026-06-10,Royals,Rangers,0.449359379846261,0
core_plus__sp_stuff_plus_diff,1,824266,2026-06-10,Tigers,Twins,0.6496243649034523,0
core_plus__sp_stuff_plus_diff,1,824348,2026-06-11,Rockies,Cubs,0.32314176500709607,1
