experiment,fold_id,game_id,game_date,home_team,away_team,research_home_win_probability,outcome
core_only,3,823123,2026-06-21,Mariners,Red Sox,0.5438333750931361,1
core_only,3,823449,2026-06-21,Phillies,Mets,0.5769362591973851,1
core_only,3,823531,2026-06-21,Yankees,Reds,0.3951585869347506,0
core_only,3,823852,2026-06-21,Marlins,Giants,0.4109908832558192,1
core_only,3,823934,2026-06-21,Dodgers,Orioles,0.47385183428346955,0
core_only,3,824095,2026-06-21,Royals,Cardinals,0.5053535424582558,0
core_only,3,824177,2026-06-21,Astros,Guardians,0.5178880682240784,1
core_only,3,824260,2026-06-21,Tigers,White Sox,0.5158811912730343,1
core_only,3,824343,2026-06-21,Rockies,Pirates,0.32925147106292396,0
core_only,3,824908,2026-06-21,Braves,Brewers,0.5679799626767816,0
core_only,3,824987,2026-06-21,Athletics,Angels,0.45570627187669044,0
core_only,3,825067,2026-06-21,D-backs,Twins,0.43386522029272645,0
core_only,3,822720,2026-06-22,Nationals,Phillies,0.5604849946727225,1
core_only,3,822800,2026-06-22,Blue Jays,Astros,0.3833064462598143,1
core_only,3,822964,2026-06-22,Rays,Royals,0.58219442695251,0
core_only,3,823040,2026-06-22,Cardinals,D-backs,0.6442659526951838,1
core_only,3,823288,2026-06-23,Padres,Braves,0.5471597608520079,1
core_only,3,823692,2026-06-22,Twins,Dodgers,0.546743341006606,0
core_only,3,823851,2026-06-22,Marlins,Rangers,0.558558869791581,0
core_only,3,824016,2026-06-23,Angels,Orioles,0.4930816647257986,0
core_only,3,824261,2026-06-22,Tigers,Yankees,0.4871227939550098,1
core_only,3,824344,2026-06-23,Rockies,Red Sox,0.3864504087024324,1
core_only,3,824502,2026-06-22,Reds,Brewers,0.4616274709733307,0
core_only,3,824585,2026-06-22,White Sox,Guardians,0.4670306983122359,1
core_plus_shadow_now,1,822807,2026-06-07,Blue Jays,Orioles,0.7674383446056968,1
core_plus_shadow_now,1,822890,2026-06-07,Rangers,Guardians,0.32941124207768335,1
core_plus_shadow_now,1,823047,2026-06-07,Cardinals,Reds,0.6320342264547187,1
core_plus_shadow_now,1,823291,2026-06-07,Padres,Mets,0.42701282485440545,0
core_plus_shadow_now,1,823453,2026-06-07,Phillies,White Sox,0.38871025256304764,1
core_plus_shadow_now,1,823537,2026-06-07,Yankees,Red Sox,0.46240339181895945,1
core_plus_shadow_now,1,823696,2026-06-07,Twins,Royals,0.5720268561407753,0
core_plus_shadow_now,1,823857,2026-06-07,Marlins,Rays,0.807101597548135,1
core_plus_shadow_now,1,823941,2026-06-07,Dodgers,Angels,0.8481145404163465,0
core_plus_shadow_now,1,824183,2026-06-07,Astros,Athletics,0.5926950268593195,0
core_plus_shadow_now,1,824268,2026-06-07,Tigers,Mariners,0.4694910127733226,1
core_plus_shadow_now,1,824349,2026-06-07,Rockies,Brewers,0.12151767904396424,0
core_plus_shadow_now,1,824670,2026-06-08,Cubs,Giants,0.537765187382817,0
core_plus_shadow_now,1,824916,2026-06-07,Braves,Pirates,0.5803120391251003,1
core_plus_shadow_now,1,825074,2026-06-07,D-backs,Nationals,0.40663281106202176,1
core_plus_shadow_now,1,822806,2026-06-08,Blue Jays,Phillies,0.3908812063000282,0
core_plus_shadow_now,1,822972,2026-06-08,Rays,Red Sox,0.2906457602949236,1
core_plus_shadow_now,1,823218,2026-06-09,Giants,Nationals,0.36097480810034926,0
core_plus_shadow_now,1,823289,2026-06-09,Padres,Reds,0.44310615256199004,1
core_plus_shadow_now,1,824025,2026-06-09,Angels,Astros,0.23085177189809722,0
core_plus_shadow_now,1,824427,2026-06-08,Guardians,Yankees,0.5538128960717404,0
core_plus_shadow_now,1,824829,2026-06-08,Orioles,Mariners,0.3905727539666609,0
core_plus_shadow_now,1,824998,2026-06-09,Athletics,Brewers,0.46071297715316367,0
core_plus_shadow_now,1,822805,2026-06-09,Blue Jays,Phillies,0.4192890863066428,1
core_plus_shadow_now,1,822969,2026-06-09,Rays,Red Sox,0.44072210388849686,1
core_plus_shadow_now,1,823214,2026-06-10,Giants,Nationals,0.402752667992362,0
core_plus_shadow_now,1,823290,2026-06-10,Padres,Reds,0.44313924814674416,0
core_plus_shadow_now,1,823374,2026-06-09,Pirates,Dodgers,0.5266322028790217,0
core_plus_shadow_now,1,823620,2026-06-09,Mets,Cardinals,0.68446223214094,0
core_plus_shadow_now,1,823858,2026-06-09,Marlins,D-backs,0.7827341568124978,1
