candidate,fold_id,game_id,game_date,home_team,away_team,research_home_win_probability,outcome
logistic_core_c0.05_balanced,2,823774,2026-06-17,Brewers,Guardians,0.33705468034661556,1
logistic_core_c0.05_balanced,3,823940,2026-06-17,Dodgers,Rays,0.5927845807209584,1
logistic_core_c0.05_balanced,3,824178,2026-06-17,Astros,Tigers,0.458053602961164,1
logistic_core_c0.05_balanced,3,824503,2026-06-17,Reds,Mets,0.395438354451675,0
logistic_core_c0.05_balanced,3,824668,2026-06-18,Cubs,Rockies,0.344577333548529,1
logistic_core_c0.05_balanced,3,824746,2026-06-17,Red Sox,Blue Jays,0.6343900087861342,0
logistic_core_c0.05_balanced,3,824913,2026-06-17,Braves,Giants,0.5188230020548321,0
logistic_core_c0.05_balanced,3,824992,2026-06-18,Athletics,Pirates,0.4680532222821144,0
logistic_core_c0.05_balanced,3,825072,2026-06-17,D-backs,Angels,0.4763528257380022,1
logistic_core_c0.05_balanced,3,822889,2026-06-18,Rangers,Twins,0.4340493266662164,0
logistic_core_c0.05_balanced,3,823125,2026-06-18,Mariners,Orioles,0.5409641547526118,1
logistic_core_c0.05_balanced,3,823448,2026-06-18,Phillies,Mets,0.4108605695224638,0
logistic_core_c0.05_balanced,3,823533,2026-06-18,Yankees,White Sox,0.44667513006786297,0
logistic_core_c0.05_balanced,3,823772,2026-06-18,Brewers,Guardians,0.413732786530579,0
logistic_core_c0.05_balanced,3,824098,2026-06-18,Royals,Cardinals,0.4873099002579174,1
logistic_core_c0.05_balanced,3,824748,2026-06-18,Red Sox,Blue Jays,0.494177664393987,0
logistic_core_c0.05_balanced,3,824989,2026-06-19,Athletics,Angels,0.5387457148898159,1
logistic_core_c0.05_balanced,3,822886,2026-06-20,Rangers,Padres,0.5450862745262506,1
logistic_core_c0.05_balanced,3,822966,2026-06-19,Rays,Nationals,0.5132324307824327,1
logistic_core_c0.05_balanced,3,823124,2026-06-20,Mariners,Red Sox,0.602281540043677,0
logistic_core_c0.05_balanced,3,823534,2026-06-19,Yankees,Reds,0.5807901658819729,1
logistic_core_c0.05_balanced,3,823853,2026-06-19,Marlins,Giants,0.5435057604590094,1
logistic_core_c0.05_balanced,3,823936,2026-06-20,Dodgers,Orioles,0.5638529260206093,1
logistic_core_c0.05_balanced,3,824097,2026-06-20,Royals,Cardinals,0.4378732801656353,1
logistic_core_c0.05_balanced,3,824179,2026-06-20,Astros,Guardians,0.4178918509183795,1
logistic_core_c0.05_balanced,3,824264,2026-06-19,Tigers,White Sox,0.5756361562189795,1
logistic_core_c0.05_balanced,3,824345,2026-06-20,Rockies,Pirates,0.2923363344026441,1
logistic_core_c0.05_balanced,3,824663,2026-06-19,Cubs,Blue Jays,0.4755032970983948,1
logistic_core_c0.05_balanced,3,824910,2026-06-19,Braves,Brewers,0.44518991441475364,1
logistic_core_c0.05_balanced,3,824990,2026-06-20,Athletics,Angels,0.5285100250925441,1
logistic_core_c0.05_balanced,3,825069,2026-06-20,D-backs,Twins,0.5234354877769355,1
logistic_core_c0.05_balanced,3,822885,2026-06-20,Rangers,Padres,0.5280160668321427,0
logistic_core_c0.05_balanced,3,822967,2026-06-20,Rays,Nationals,0.4728637893016735,0
logistic_core_c0.05_balanced,3,823126,2026-06-21,Mariners,Red Sox,0.5655726179184306,0
logistic_core_c0.05_balanced,3,823447,2026-06-20,Phillies,Mets,0.5146707902131248,1
logistic_core_c0.05_balanced,3,823532,2026-06-20,Yankees,Reds,0.5026805557737124,0
logistic_core_c0.05_balanced,3,823854,2026-06-20,Marlins,Giants,0.6105362596156411,1
logistic_core_c0.05_balanced,3,823937,2026-06-21,Dodgers,Orioles,0.6348975153354574,0
logistic_core_c0.05_balanced,3,824180,2026-06-20,Astros,Guardians,0.5632639279435504,0
logistic_core_c0.05_balanced,3,824263,2026-06-20,Tigers,White Sox,0.5445946116200152,1
logistic_core_c0.05_balanced,3,824342,2026-06-21,Rockies,Pirates,0.33881471597410856,1
logistic_core_c0.05_balanced,3,824665,2026-06-20,Cubs,Blue Jays,0.4673641486462795,0
logistic_core_c0.05_balanced,3,824909,2026-06-20,Braves,Brewers,0.5050945695273049,1
logistic_core_c0.05_balanced,3,824988,2026-06-21,Athletics,Angels,0.5621368386363783,0
logistic_core_c0.05_balanced,3,825068,2026-06-21,D-backs,Twins,0.4107064294960642,0
logistic_core_c0.05_balanced,3,822883,2026-06-21,Rangers,Padres,0.5333440836746203,1
logistic_core_c0.05_balanced,3,822968,2026-06-21,Rays,Nationals,0.5337707171651288,1
logistic_core_c0.05_balanced,3,823123,2026-06-21,Mariners,Red Sox,0.5281904039462749,1
